361	2	38	19
362	1	41	19
363	3	38	23
364	1	41	19
365	2	41	23
366	1	44	23
367	5	35	27
368	1	38	15
369	2	38	19
370	1	41	19
371	3	38	23
372	1	41	19
373	2	40	23
374	1	43	23
375	4	38	27
376	1	41	19
377	2	41	23
378	1	43	23
379	3	40	27
380	1	43	23
381	2	43	27
382	1	45	27
383	8	31	31
384	1	34	7
385	2	34	11
386	1	37	11
387	3	34	15
388	1	37	11
389	2	37	15
390	1	40	15
391	4	34	19
392	1	37	11
393	2	37	15
394	1	39	15
395	3	37	19
396	1	39	15
397	2	39	19
398	1	42	19
399	5	33	23
400	1	36	11
401	2	36	15
402	1	39	15
403	3	36	19
404	1	39	15
405	2	39	19
406	1	42	19
407	4	36	23
408	1	39	15
409	2	39	19
410	1	41	19
411	3	39	23
412	1	41	19
413	2	42	23
414	1	44	23
415	6	33	27
416	1	36	11
417	2	36	15
418	1	39	15
419	3	36	19
420	1	39	15
421	2	39	19
422	1	42	19
423	4	36	23
424	1	39	15
425	2	38	19
426	1	42	19
427	3	39	23
428	1	41	19
429	2	42	23
430	1	44	23
431	5	35	27
432	1	38	15
433	2	38	19
434	1	41	19
435	3	38	23
436	1	41	19
437	2	41	23
438	1	44	23
439	4	38	27
440	1	41	19
441	2	41	23
442	1	44	23
443	3	41	27
444	1	44	23
445	2	44	27
446	1	46	27
447	7	33	31
448	1	36	11
449	2	36	15
450	1	39	15
451	3	36	19
452	1	39	15
453	2	39	19
454	1	42	19
455	4	36	23
456	1	38	15
457	2	39	19
458	1	41	19
459	3	38	23
460	1	41	19
461	2	41	23
462	1	44	23
463	5	35	27
464	1	38	15
465	2	38	19
466	1	41	19
467	3	38	23
468	1	41	19
469	2	41	23
470	1	44	23
471	4	38	27
472	1	41	19
473	2	41	23
474	1	43	23
475	3	41	27
476	1	44	23
477	2	44	27
478	1	46	27
479	6	35	31
480	1	38	15
481	2	38	19
482	1	41	19
483	3	38	23
484	1	41	19
485	2	41	23
486	1	44	23
487	4	38	27
488	1	41	19
489	2	41	23
490	1	44	23
491	3	41	27
492	1	43	23
493	2	43	27
494	1	47	27
495	5	37	31
496	1	40	19
497	2	40	23
498	1	43	23
499	3	40	27
500	1	43	23
501	2	43	27
502	1	46	27
503	4	40	31
504	1	43	23
505	2	43	27
506	1	46	27
507	3	43	31
508	1	46	27
509	2	46	31
510	1	48	31
511	10	26	35
512	1	38	3
513	2	37	7
514	1	40	7
515	3	37	11
516	1	40	7
517	2	40	11
518	1	43	11
519	4	37	15
520	1	40	7
521	2	40	11
522	1	43	11
523	3	40	15
524	1	43	11
525	2	43	15
526	1	45	15
527	5	36	19
528	1	40	7
529	2	39	11
530	1	42	11
531	3	39	15
532	1	42	11
533	2	42	15
534	1	45	15
535	4	39	19
536	1	42	11
537	2	42	15
538	1	45	15
539	3	42	19
540	1	45	15
541	2	45	19
542	1	47	19
543	6	36	23
544	1	39	7
545	2	39	11
546	1	42	11
547	3	39	15
548	1	42	11
549	2	41	15
550	1	45	15
551	4	39	19
552	1	42	11
553	2	41	15
554	1	44	15
555	3	41	19
556	1	44	15
557	2	44	19
558	1	47	19
559	5	39	23
560	1	41	11
561	2	41	15
562	1	44	15
563	3	41	19
564	1	44	15
565	2	44	19
566	1	47	19
567	4	41	23
568	1	44	15
569	2	44	19
570	1	47	19
571	3	44	23
572	1	47	19
573	2	47	23
574	1	49	23
575	7	36	27
576	1	38	7
577	2	38	11
578	1	41	11
579	3	38	15
580	1	41	11
581	2	41	15
582	1	44	15
583	4	38	19
584	1	41	11
585	2	41	15
586	1	44	15
587	3	41	19
588	1	44	15
589	2	44	19
590	1	47	19
591	5	38	23
592	1	41	11
593	2	41	15
594	1	43	15
595	3	41	19
596	1	44	15
597	2	43	19
598	1	46	19
599	4	41	23
600	1	43	15
601	2	43	19
602	1	46	19
603	3	44	23
604	1	46	19
605	2	46	23
606	1	49	23
607	6	38	27
608	1	41	11
609	2	40	15
610	1	43	15
611	3	40	19
612	1	43	15
613	2	43	19
614	1	46	19
615	4	40	23
616	1	43	15
617	2	43	19
618	1	46	19
619	3	43	23
620	1	46	19
621	2	46	23
622	1	49	23
623	5	40	27
624	1	43	15
625	2	43	19
626	1	46	19
627	3	43	23
628	1	46	19
629	2	46	23
630	1	49	23
631	4	43	27
632	1	45	19
633	2	46	23
634	1	49	23
635	3	45	27
636	1	48	23
637	2	48	27
638	1	51	27
639	8	35	31
640	1	38	7
641	2	38	11
642	1	41	11
643	3	38	15
644	1	41	11
645	2	41	15
646	1	44	15
647	4	38	19
648	1	41	11
649	2	40	15
650	1	43	15
651	3	41	19
652	1	44	15
653	2	43	19
654	1	46	19
655	5	37	23
656	1	41	11
657	2	41	15
658	1	43	15
659	3	40	19
660	1	43	15
661	2	43	19
662	1	46	19
663	4	40	23
664	1	43	15
665	2	43	19
666	1	46	19
667	3	43	23
668	1	46	19
669	2	46	23
670	1	49	23
671	6	37	27
672	1	40	11
673	2	40	15
674	1	43	15
675	3	40	19
676	1	43	15
677	2	43	19
678	1	46	19
679	4	40	23
680	1	43	15
681	2	43	19
682	1	46	19
683	3	43	23
684	1	45	19
685	2	46	23
686	1	48	23
687	5	40	27
688	1	43	15
689	2	42	19
690	1	45	19
691	3	43	23
692	1	45	19
693	2	45	23
694	1	48	23
695	4	42	27
696	1	45	19
697	2	45	23
698	1	48	23
699	3	45	27
700	1	48	23
701	2	48	27
702	1	51	27
703	7	37	31
704	1	39	11
705	2	40	15
706	1	43	15
707	3	40	19
708	1	43	15
709	2	43	19
710	1	46	19
711	4	40	23
712	1	43	15
713	2	43	19
714	1	46	19
715	3	42	23
716	1	45	19
717	2	46	23
718	1	49	23
719	5	39	27
720	1	42	15
721	2	42	19
722	1	45	19
723	3	42	23
724	1	45	19
725	2	45	23
726	1	48	23
727	4	42	27
728	1	45	19
729	2	45	23
730	1	48	23
731	3	45	27
732	1	48	23
733	2	48	27
734	1	50	27
735	6	39	31
736	1	42	15
737	2	42	19
738	1	45	19
739	3	42	23
740	1	45	19
741	2	45	23
742	1	48	23
743	4	42	27
744	1	45	19
745	2	45	23
746	1	48	23
747	3	45	27
748	1	48	23
749	2	48	27
750	1	50	27
751	5	42	31
752	1	45	19
753	2	44	23
754	1	47	23
755	3	44	27
756	1	48	23
757	2	47	27
758	1	50	27
759	4	44	31
760	1	48	23
761	2	48	27
762	1	50	27
763	3	48	31
764	1	50	27
765	2	51	31
766	1	53	31
767	9	35	35
768	1	38	7
769	2	38	11
770	1	41	11
771	3	38	15
772	1	41	11
773	2	41	15
774	1	44	15
775	4	38	19
776	1	41	11
777	2	41	15
778	1	44	15
779	3	41	19
780	1	44	15
781	2	44	19
782	1	47	19
783	5	38	23
784	1	41	11
785	2	41	15
786	1	43	15
787	3	41	19
788	1	44	15
789	2	44	19
790	1	46	19
791	4	41	23
792	1	43	15
793	2	43	19
794	1	46	19
795	3	43	23
796	1	46	19
797	2	47	23
798	1	49	23
799	6	37	27
800	1	41	11
801	2	40	15
802	1	43	15
803	3	40	19
804	1	43	15
805	2	43	19
806	1	46	19
807	4	40	23
808	1	43	15
809	2	43	19
810	1	46	19
811	3	43	23
812	1	46	19
813	2	46	23
814	1	49	23
815	5	40	27
816	1	43	15
817	2	43	19
818	1	46	19
819	3	43	23
820	1	46	19
821	2	46	23
822	1	49	23
823	4	43	27
824	1	45	19
825	2	46	23
826	1	49	23
827	3	46	27
828	1	49	23
829	2	48	27
830	1	52	27
831	7	37	31
832	1	40	11
833	2	40	15
834	1	43	15
835	3	40	19
836	1	43	15
837	2	43	19
838	1	46	19
839	4	40	23
840	1	43	15
841	2	43	19
842	1	46	19
843	3	43	23
844	1	46	19
845	2	46	23
846	1	49	23
847	5	40	27
848	1	43	15
849	2	43	19
850	1	46	19
851	3	43	23
852	1	45	19
853	2	46	23
854	1	48	23
855	4	43	27
856	1	46	19
857	2	45	23
858	1	49	23
859	3	46	27
860	1	48	23
861	2	48	27
862	1	51	27
863	6	40	31
864	1	43	15
865	2	42	19
866	1	46	19
867	3	43	23
868	1	45	19
869	2	45	23
870	1	48	23
871	4	43	27
872	1	45	19
873	2	45	23
874	1	48	23
875	3	45	27
876	1	48	23
877	2	48	27
878	1	51	27
879	5	42	31
880	1	45	19
881	2	45	23
882	1	48	23
883	3	45	27
884	1	48	23
885	2	48	27
886	1	51	27
887	4	45	31
888	1	48	23
889	2	47	27
890	1	51	27
891	3	48	31
892	1	51	27
893	2	51	31
894	1	53	31
895	8	37	35
896	1	40	11
897	2	40	15
898	1	43	15
899	3	40	19
900	1	43	15
901	2	43	19
902	1	46	19
903	4	39	23
904	1	43	15
905	2	43	19
906	1	45	19
907	3	43	23
908	1	45	19
909	2	46	23
910	1	48	23
911	5	39	27
912	1	42	15
913	2	43	19
914	1	46	19
915	3	43	23
916	1	45	19
917	2	45	23
918	1	48	23
919	4	42	27
920	1	45	19
921	2	45	23
922	1	48	23
923	3	45	27
924	1	48	23
925	2	48	27
926	1	51	27
927	6	39	31
928	1	43	15
929	2	42	19
930	1	45	19
931	3	42	23
932	1	45	19
933	2	45	23
934	1	48	23
935	4	42	27
936	1	45	19
937	2	45	23
938	1	48	23
939	3	45	27
940	1	48	23
941	2	48	27
942	1	51	27
943	5	42	31
944	1	45	19
945	2	45	23
946	1	48	23
947	3	45	27
948	1	48	23
949	2	48	27
950	1	51	27
951	4	45	31
952	1	48	23
953	2	48	27
954	1	50	27
955	3	48	31
956	1	50	27
957	2	51	31
958	1	53	31
959	7	39	35
960	1	42	15
961	2	42	19
962	1	45	19
963	3	42	23
964	1	45	19
